Nama Dosen,Bidang,Judul Publikasi,Authors,Citation,Year,Judul Publikasi English
"Dr. Sri Suning Kusumawardani, S.T., M.T.",Software Engineering,Evaluasi Keamanan Akses Jaringan Komputer Nirkabel (Kasus: Kantor Pusat Fakultas Teknik Universitas Gadjah Mada),"IBVH Manuaba, R Hidayat, SS Kusumawardani",15,2012,"Evaluation of Wireless Computer Network Access Security (Case: Head Office of the Faculty of Engineering, Gadjah Mada University)"
"Dr. Sri Suning Kusumawardani, S.T., M.T.",Software Engineering,A scoring rubric for automatic short answer grading system,"U Hasanah, AE Permanasari, SS Kusumawardani, FS Pribadi",13,2019,A scoring rubric for automatic short answer grading system
"Dr. Sri Suning Kusumawardani, S.T., M.T.",Software Engineering,Big data analytic for estimation of origin-destination matrix in Bus Rapid Transit system,"B Prakasa, DW Putra, SS Kusumawardani, BTY Widhiyanto, F Habibie",13,2017,Big data analytic for estimation of origin-destination matrix in Bus Rapid Transit system
"Dr. Sri Suning Kusumawardani, S.T., M.T.",Software Engineering,Pemodelan Monitoring Pemakaian Dan Penghematan Energi Listrik Dengan Teknologi Jaringan Sensor Nirkabel,"B Santoso, IW Mustika, SS Kusumawardani",12,2014,Modeling of Monitoring the Use and Saving of Electrical Energy with Wireless Sensor Network Technology
"Dr. Sri Suning Kusumawardani, S.T., M.T.",Software Engineering,Categories for barriers to digital transformation in higher education: an analysis based on literature,"BR Aditya, R Ferdiana, SS Kusumawardani",11,2021,Categories for barriers to digital transformation in higher education: an analysis based on literature
"Dr. Sri Suning Kusumawardani, S.T., M.T.",Software Engineering,A review of an information extraction technique approach for automatic short answer grading,"U Hasanah, AE Permanasari, SS Kusumawardani, FS Pribadi",11,2016,A review of an information extraction technique approach for automatic short answer grading
"Dr. Sri Suning Kusumawardani, S.T., M.T.",Software Engineering,Tinjauan Pustaka Sistematis: Implementasi Metode Deep Learning pada Prediksi Kinerja Murid,"MH Diponegoro, SS Kusumawardani, I Hidayah",9,2021,Systematic Literature Review: Implementation of the Deep Learning Method in Predicting Student Performance
"Dr. Sri Suning Kusumawardani, S.T., M.T.",Software Engineering,Prototyping of Class-Attendance System Using Mifare 1K Smart Card and Raspberry Pi 3,"A Bejo, R Winata, SS Kusumawardani",9,2018,Prototyping of Class-Attendance System Using Mifare 1K Smart Card and Raspberry Pi 3
"Dr. Sri Suning Kusumawardani, S.T., M.T.",Software Engineering,Barriers to digital transformation in higher education: An interpretive structural modeling approach,"BR Aditya, R Ferdiana, SS Kusumawardani",8,2021,Barriers to digital transformation in higher education: An interpretive structural modeling approach
"Dr. Sri Suning Kusumawardani, S.T., M.T.",Software Engineering,Predicting student academic performance using machine learning and time management skill data,"MR Rimadana, SS Kusumawardani, PI Santosa, MSF Erwianda",8,2019,Predicting student academic performance using machine learning and time management skill data
"Dr. Sri Suning Kusumawardani, S.T., M.T.",Software Engineering,A novel user experience study of parallax scrolling using eye tracking and user experience questionnaire,"W Mahardika, S Wibirama, R Ferdiana, SS Kusumawardani",8,2018,A novel user experience study of parallax scrolling using eye tracking and user experience questionnaire
"Dr. Sri Suning Kusumawardani, S.T., M.T.",Software Engineering,Analisis Performance Jaringan Komputer Dengan Mekanisme Load Balancing-Failover,"R Ramandito, S Sumaryono, SS Kusumawardhani",8,2010,Computer Network Performance Analysis With Load Balancing-Failover Mechanism
"Dr. Sri Suning Kusumawardani, S.T., M.T.",Software Engineering,Designing 1 bit error correcting circuit on FPGA using BCH codes,"SS Kusumawardani, B Sutopo",8,2001,Designing 1 bit error correcting circuit on FPGA using BCH codes
"Dr. Sri Suning Kusumawardani, S.T., M.T.",Software Engineering,Panduan program bantuan kerjasama kurikulum dan implementasi merdeka belajar kampus merdeka,"D Wulandari, S Arifin, E Cahyono, SS Kusumawardani, GF Hertono, ...",7,2021,Guide to the curriculum cooperation assistance program and the implementation of independent learning on an independent campus
"Dr. Sri Suning Kusumawardani, S.T., M.T.",Software Engineering,"A Systematic Literature Review of Application Development to Realize Paperless Application in Indonesia: Sectors, Platforms, Impacts, and Challenges","PH Prastyo, AS Sumi, SS Kusumawardani",7,2020,"A Systematic Literature Review of Application Development to Realize Paperless Application in Indonesia: Sectors, Platforms, Impacts, and Challenges"
"Dr. Sri Suning Kusumawardani, S.T., M.T.",Software Engineering,Collecting the Tourism Contextual Information data to support the tourism recommendation system,"RY Saputra, LE Nugroho, SS Kusumawardani",7,2019,Collecting the Tourism Contextual Information data to support the tourism recommendation system
"Dr. Sri Suning Kusumawardani, S.T., M.T.",Software Engineering,Fuzzy Multi Attribute Decision Making for Major Selection at Senior High School,"FN Khasanah, AE Permanasari, SS Kusumawardani",7,2015,Fuzzy Multi Attribute Decision Making for Major Selection at Senior High School
"Dr. Sri Suning Kusumawardani, S.T., M.T.",Software Engineering,Evaluating user experience on E-learning using the user experience questionnaire (UEQ) with additional functional scale,"MQ Laksono, SS Kusumawardani, R Ferdiana",6,2020,Evaluating user experience on E-learning using the user experience questionnaire (UEQ) with additional functional scale
"Dr. Sri Suning Kusumawardani, S.T., M.T.",Software Engineering,Penggunaan Kerangka Kerja SNI ISO/IEC 27001: 2013 untuk Implementasi Tata Kelola Keamanan Informasi Arsip Digital Pemerintah Berbasis Komputasi Awan (Arsip Nasional RI),"D Rutanaji, SS Kusumawardani, WW Winarno",6,2018,Use of SNI ISO/IEC 27001: 2013 Framework for Implementation of Cloud Computing-Based Government Digital Archive Information Security Governance (RI National Archives)
"Dr. Sri Suning Kusumawardani, S.T., M.T.",Software Engineering,ISO 27001 sebagai Metode Alternatif bagi Perancangan Tata Kelola Keamanan Informasi (Sebuah Usulan untuk Diterapkan di Arsip Nasional RI),"D Rutanaji, SS Kusumawardani, WW Winarno",6,2017,ISO 27001 as an Alternative Method for Designing Information Security Governance (A Proposal to be Implemented in the RI National Archives)
"Dr. Sri Suning Kusumawardani, S.T., M.T.",Software Engineering,Aplikasi Pengumpulan Data Survei Memanfaatkan SMS Gateway,"AB Osmond, LE Nugroho, SS Kusumawardhani",6,2016,Survey Data Collection Application Utilizing SMS Gateway
"Dr. Sri Suning Kusumawardani, S.T., M.T.",Software Engineering,Machine Learning Untuk Estimasi Posisi Objek Berbasis RSS Fingerprint Menggunakan IEEE 802.11 g Pada Lantai 3 Gedung JTETI UGM,"C Chairani, W Widyawan, SS Kusumawardani",6,2015,Machine Learning for Estimating the Position of Objects Based on RSS Fingerprint Using IEEE 802.11 g on the 3rd Floor of the UGM JTETI Building
"Dr. Sri Suning Kusumawardani, S.T., M.T.",Software Engineering,Perancangan Ontologi sebagai Teknologi Penyimpanan Informasi untuk Penelusuran Pustaka pada SIRREF JTETI UGM,"KDP Novianti, NA Setiawan, SS Kusumawardani",6,2014,Design of Ontology as Information Storage Technology for Library Search at SIRREF JTETI UGM
"Dr. Sri Suning Kusumawardani, S.T., M.T.",Software Engineering,Perancangan Ontologi Prenatal-Nutrition dan Evaluasinya Menggunakan Schema Metric OntoQA,"DGS Ruindungan, PI Santosa, SS Kusumawardani",6,2014,Design of Prenatal-Nutrition Ontology and Evaluation Using Schema Metric OntoQA
"Dr. Sri Suning Kusumawardani, S.T., M.T.",Software Engineering,Pengujian Tracking Color Menggunakan IP Webcam untuk Deteksi Ketinggian Air,"A Kurniawan, IW Mustika, SS Kusumawardani",6,2014,Color Tracking Test Using IP Webcam for Water Level Detection
"Dr. Sri Suning Kusumawardani, S.T., M.T.",Software Engineering,Improving confusion-state classifier model using xgboost and tree-structured parzen estimator,"MSF Erwianda, SS Kusumawardani, PI Santosa, MR Rimadana",5,2019,Improving confusion-state classifier model using xgboost and tree-structured parzen estimator
"Dr. Sri Suning Kusumawardani, S.T., M.T.",Software Engineering,Requirement and Potential for Modernizing IT Risk Universe in IT Audit Plan,"BR Aditya, R Ferdiana, SS Kusumawardani",5,2018,Requirement and Potential for Modernizing IT Risk Universe in IT Audit Plan
"Dr. Sri Suning Kusumawardani, S.T., M.T.",Software Engineering,The requirements analysis of Elisa business architecture with education enterprise architecture perspective,"G Emmanuel, SS Kusumawardani, R Ferdiana",5,2018,The requirements analysis of Elisa business architecture with education enterprise architecture perspective
"Dr. Sri Suning Kusumawardani, S.T., M.T.",Software Engineering,Pengembangan Model Awal Sistem Evaluasi Penerimaan Pengguna E-Learning Janabadra,"AS Saputra, SS Kusumawardani, E Nugroho",5,2017,Development of the Initial Model of Janabadra E-Learning User Acceptance Evaluation System
"Dr. Sri Suning Kusumawardani, S.T., M.T.",Software Engineering,Analisis kinerja reactive routing protocol dalam mobile ad-hoc network (MANET) menggunakan NS-2 (Network Simulator),"O Kembuan, SS Kusumawardani",5,2012,Performance analysis of reactive routing protocols in mobile ad-hoc network (MANET) using NS-2 (Network Simulator)
"Dr. Sri Suning Kusumawardani, S.T., M.T.",Software Engineering,Distributed classifier for SDGs topics in online news using RabbitMQ message broker,"A Nugroho, SS Kusumawardani",4,2020,Distributed classifier for SDGs topics in online news using RabbitMQ message broker
"Dr. Sri Suning Kusumawardani, S.T., M.T.",Software Engineering,Research trend of causal machine learning method: A literature review,"S Arti, I Hidayah, SS Kusumawardani",4,2020,Research trend of causal machine learning method: A literature review
"Dr. Sri Suning Kusumawardani, S.T., M.T.",Software Engineering,Forecasting avian influenza incidence in Java and Madura area,"AE Permanasari, IK Utami, I Hidayah, SS Kusumawardani",4,2015,Forecasting avian influenza incidence in Java and Madura area
"Dr. Sri Suning Kusumawardani, S.T., M.T.",Software Engineering,Ontology development of semantic e-learning for final project course,"SS Kusumawardani, LE Nugroho, A Susanto, A Kumara, HS Wasisto, ...",4,2015,Ontology development of semantic e-learning for final project course
"Dr. Sri Suning Kusumawardani, S.T., M.T.",Software Engineering,Improving SME ICT utilization through industrial attachment program: Indonesia case,"PI Santosa, SS Kusumawardani",4,2010,Improving SME ICT utilization through industrial attachment program: Indonesia case
"Dr. Sri Suning Kusumawardani, S.T., M.T.",Software Engineering,"Implementasi Sandi BCH (15, 5) Dengan FPGA XC4013","SS Kusumawardani, B Sutopo, JE Istiyanto",4,2001,"BCH Code Implementation (15, 5) With XC4013 FPGA"
"Dr. Sri Suning Kusumawardani, S.T., M.T.",Software Engineering,Student performance prediction in higher education: A comprehensive review,"E Tjandra, SS Kusumawardani, R Ferdiana",3,2022,Student performance prediction in higher education: A comprehensive review
"Dr. Sri Suning Kusumawardani, S.T., M.T.",Software Engineering,Completion Factor in Massive Open Online Course in Developing Countries: A Literature Review in 2015-2021.,"L Liliana, PI Santosa, SS Kusumawardani",3,2022,Completion Factor in Massive Open Online Course in Developing Countries: A Literature Review in 2015-2021.
"Dr. Sri Suning Kusumawardani, S.T., M.T.",Software Engineering,Kajian Penggunaan Data Log Mahasiswa untuk Berbagai Permasalahan Analisis Pembelajaran,"SS Kusumawardani, SAI Alfarozi",3,2020,Study on the Use of Student Log Data for Various Learning Analysis Problems
"Dr. Sri Suning Kusumawardani, S.T., M.T.",Software Engineering,A Review of The Challenges of Paperless Concept in the Society 5.0,"SE Prasetyo, GM Damaraji, SS Kusumawardani",3,2020,A Review of The Challenges of Paperless Concept in the Society 5.0
"Dr. Sri Suning Kusumawardani, S.T., M.T.",Software Engineering,Pengembangan Model Proses Bisnis eLisa Dalam Pencapaian Tujuan Pembelajaran Universitas,"G Emmanuel, SS Kusumawardani",3,2020,Development of the eLisa Business Process Model in Achieving University Learning Objectives
"Dr. Sri Suning Kusumawardani, S.T., M.T.",Software Engineering,Pengembangan faktor learner satisfaction dengan menggunakan kerangka kerja community of inquiry,"H Setiaji, WW Winarno, SS Kusumawardani",3,2015,Development of learner satisfaction factors using the community of inquiry framework
"Dr. Sri Suning Kusumawardani, S.T., M.T.",Software Engineering,Evaluasi ontologi penyakit saraf menggunakan schema metric Onto-QA,"CH Simanjuntak, SS Kusumawardani, AE Permanasari, J Grafika, ...",3,2015,Ontology evaluation of neurological diseases using the Onto-QA metric schema
"Dr. Sri Suning Kusumawardani, S.T., M.T.",Software Engineering,Efek Moderasi dari Usia dan Jenis Kelamin dalam Penerimaan E-KTP di Kecamatan Gondokusuman Yogyakarta,"M Indriani, PI Santosa, SS Kusumawardani",3,2012,"Moderation Effects of Age and Gender in Acceptance of E-KTP in Gondokusuman District, Yogyakarta"
"Dr. Sri Suning Kusumawardani, S.T., M.T.",Software Engineering,A systematic review of learning path recommender systems,"NW Rahayu, R Ferdiana, SS Kusumawardani",2,2022,A systematic review of learning path recommender systems
"Dr. Sri Suning Kusumawardani, S.T., M.T.",Software Engineering,A barrier diagnostic framework in process of digital transformation in higher education institutions,"BR Aditya, R Ferdiana, SS Kusumawardani",2,2022,A barrier diagnostic framework in process of digital transformation in higher education institutions
"Dr. Sri Suning Kusumawardani, S.T., M.T.",Software Engineering,Week-Wise Student Performance Early Prediction in Virtual Learning Environment Using a Deep Explainable Artificial Intelligence,"HC Chen, E Prasetyo, SS Tseng, KT Putra, SS Kusumawardani, CE Weng",2,2022,Week-Wise Student Performance Early Prediction in Virtual Learning Environment Using a Deep Explainable Artificial Intelligence
"Dr. Sri Suning Kusumawardani, S.T., M.T.",Software Engineering,Model of nonlinear learning path using heutagogy,"NW Rahayu, R Ferdiana, SS Kusumawardani",2,2021,Model of nonlinear learning path using heutagogy
"Dr. Sri Suning Kusumawardani, S.T., M.T.",Software Engineering,Analisis Aksesibilitas Website berdasarkan Web Content Accessibility Guidelines (WCAG): Ulasan Literatur Sistematis (An Analysis of Website Accessibility Based on Web Content),"D Fithriyaningrum, SS Kusumawardhani, S Wibirama",2,2021,Website Accessibility Analysis based on Web Content Accessibility Guidelines (WCAG): Systematic Literature Review (An Analysis of Website Accessibility Based on Web Content)
"Dr. Sri Suning Kusumawardani, S.T., M.T.",Software Engineering,Knowledge Management System Design for IT Troubleshooting (Case Study Biro TI BPK RI),"MN Aprirashka, LE Nugroho, SS Kusumawardhani",2,2019,Knowledge Management System Design for IT Troubleshooting (Case Study Biro TI BPK RI)
"Dr. Sri Suning Kusumawardani, S.T., M.T.",Software Engineering,KAJIAN INDIKATOR PENGUKURAN KESIAPAN PADA GREEN SMART CAMPUS MENGGUNAKAN KERANGKA KERJA GREEN IT READINESS+,"A Sulistyohati, SS Kusumawardani, PI Santosa",2,2017,STUDY OF READINESS MEASUREMENT INDICATORS IN GREEN SMART CAMPUS USING THE GREEN IT READINESS+ FRAMEWORK
"Dr. Sri Suning Kusumawardani, S.T., M.T.",Software Engineering,Perbandingan Akurasi Algoritme Pelatihan dalam Jaringan Syaraf Tiruan untuk Peramalan Jumlah Pengguna Kereta Api di Pulau Jawa,"B Setyonugroho, AE Permanasari, SS Kusumawardani",2,2017,Comparison of the Accuracy of Training Algorithms in Artificial Neural Networks for Forecasting the Number of Train Users in Java Island
"Dr. Sri Suning Kusumawardani, S.T., M.T.",Software Engineering,Risk Assessment dan Business Impact Analysis BPK RI dalam Pengembangan DRP BPK RI dengan Standar NIST 800-30 Rev 1.,"F Kurniawan, LE Nugroho, SS Kusumawardani",2,2017,BPK RI Risk Assessment and Business Impact Analysis in Development of BPK RI DRP with NIST Standard 800-30 Rev 1.
"Dr. Sri Suning Kusumawardani, S.T., M.T.",Software Engineering,Kerangka Kerja Konseptual Pengembangan Disaster Recovery Plan,"F Kurniawan, LE Nugroho, SS Kusumawardani",2,2017,Conceptual Framework for Developing a Disaster Recovery Plan
"Dr. Sri Suning Kusumawardani, S.T., M.T.",Software Engineering,Peningkatan Nilai Recall dan Precision pada Penelusuran Informasi Pustaka Berbasis Semantik (Studi Kasus: Sistem Informasi Ruang Referensi Jurusan Teknik Elektro dan Teknologi …,"KDP Novianti, NA Setiawan, SS Kusumawardani",2,2015,"Increasing Recall and Precision Values ​​in Searching Semantic-Based Library Information (Case Study: Reference Room Information System, Department of Electrical Engineering and Technology …"
"Dr. Sri Suning Kusumawardani, S.T., M.T.",Software Engineering,Perancangan Ontologi Rekam Medis di Indonesia berdasarkan Landasan Hukum yang Berlaku,"M Roâ, PI Santosa, SS Kusumawardani",2,2015,Design of Medical Record Ontology in Indonesia based on Applicable Legal Basis
"Dr. Sri Suning Kusumawardani, S.T., M.T.",Software Engineering,Pelacakan Level Ketinggian Air Berdasarkan Warna dengan Background Substraction,"A Kurniawan, IW Mustika, SS Kusumawardani",2,2015,Water Level Tracking Based on Color with Background Subtraction
"Dr. Sri Suning Kusumawardani, S.T., M.T.",Software Engineering,Studi Awal Analisis Kesiapan Implementasi Knowledge Management di Sekolah Tinggi Penyuluhan Pertanian Magelang,"I Setiadi, S Fauziati, SS Kusumawardani",2,2015,Preliminary Study of Knowledge Management Implementation Readiness Analysis at Magelang Agricultural Extension College
"Dr. Sri Suning Kusumawardani, S.T., M.T.",Software Engineering,Perancangan Ontologi Domain Pengetahuan Penyakit Saraf Berbasis SWRL Dengan Metode METHONTOLOGY,"CH Simanjuntak, SS Kusumawardani, AE Permanasari",2,2015,SWRL-Based Ontology Knowledge Domain Design Using METHONTOLOGY Method
"Dr. Sri Suning Kusumawardani, S.T., M.T.",Software Engineering,REDUCING STUDENT'S LEARNING DURATION ON ENGINEERING FINAL PROJECT BY IMPLEMENTING FINK'S TAXONOMY ON E-LEARNING.,"SRIS KUSUMAWARDANI, LE Nugroho, A Susanto, A Kumara, ...",2,2014,REDUCING STUDENT'S LEARNING DURATION ON ENGINEERING FINAL PROJECT BY IMPLEMENTING FINK'S TAXONOMY ON E-LEARNING.
"Dr. Sri Suning Kusumawardani, S.T., M.T.",Software Engineering,SIMULASI PROSES PEMILIHAN JALUR DALAM BORDER GATEWAY PROTOCOL (BGP) BERDASARKAN ATRIBUT WEIGHT DAN LOCALPREFERENCE,"SS Kusumawardani, I Nabella",2,2014,SIMULATION OF PATH SELECTION PROCESS IN BORDER GATEWAY PROTOCOL (BGP) BASED ON WEIGHT AND LOCALPREFERENCE ATTRIBUTES
"Dr. Sri Suning Kusumawardani, S.T., M.T.",Software Engineering,Parental control model for high school e-learning,"SS Kusumawardani, R Ferdiana",2,2013,Parental control model for high school e-learning
"Dr. Sri Suning Kusumawardani, S.T., M.T.",Software Engineering,Implementasi pada FPGA atas Soft-Output Viterbi Algorithm (SOVA) untuk Pengawasandian Turbo,"D Chandra, B Setiyanto, SS Kusumawardani",2,2013,Implementation on FPGA of Soft-Output Viterbi Algorithm (SOVA) for Turbo Monitoring
"Dr. Sri Suning Kusumawardani, S.T., M.T.",Software Engineering,Statistical-based machine translation for prepositional phrase using Link Grammar,"TB Adji, Y Astuti, SS Kusumawardani",2,2011,Statistical-based machine translation for prepositional phrase using Link Grammar
"Dr. Sri Suning Kusumawardani, S.T., M.T.",Software Engineering,Perancangan dan Pembuatan Business Logic Layer Pada Situs Social Networking Berbasis Penelitian (KoKKo),"C Damarjati, LE Nugroho, SS Kusumawardani",2,2010,Design and Development of Business Logic Layer on Research-Based Social Networking Sites (KoKKo)
"Dr. Sri Suning Kusumawardani, S.T., M.T.",Software Engineering,"Efisiensi ISO 27001, ISO 9001, dan Standar LPSE pada Data Center dan e-Procurement Pemerintahan","F Harumi, LE Nugroho, SS Kusumawardani",1,2021,"Efficiency of ISO 27001, ISO 9001, and LPSE Standards in Government Data Centers and e-Procurement"
"Dr. Sri Suning Kusumawardani, S.T., M.T.",Software Engineering,Does System Based on Artificial Intelligence Need Software Engineering Method? Systematic Review,"IW Syahputri, R Ferdiana, SS Kusumawardani",1,2020,Does System Based on Artificial Intelligence Need Software Engineering Method? Systematic Review
"Dr. Sri Suning Kusumawardani, S.T., M.T.",Software Engineering,A Multi Criteria Decision Making to Support Major Selection of Senior High School,"AE Permanasari, M Wisaksono, SS Kusumawardani",1,2020,A Multi Criteria Decision Making to Support Major Selection of Senior High School
"Dr. Sri Suning Kusumawardani, S.T., M.T.",Software Engineering,Parallelized Execution of Serenity Framework Based Automated Test: A Case Study,"FAKPG Sutapa, SS Kusumawardani, AE Permanasari",1,2019,Parallelized Execution of Serenity Framework Based Automated Test: A Case Study
"Dr. Sri Suning Kusumawardani, S.T., M.T.",Software Engineering,Readiness indicators of human resources aspects for MOOC implementation,"EY Khrysdianto, SS Kusumawardani, PI Santosa",1,2019,Readiness indicators of human resources aspects for MOOC implementation
"Dr. Sri Suning Kusumawardani, S.T., M.T.",Software Engineering,Implementation of VARK learning styles in the MOOC user interface design,"NA Imran, PI Santosa, SS Kusumawardani",1,2019,Implementation of VARK learning styles in the MOOC user interface design
"Dr. Sri Suning Kusumawardani, S.T., M.T.",Software Engineering,Ontology-based social media talks topic classification (twitter case),"FJK Deviyanti, SS Kusumawardani, PI Santosa",1,2019,Ontology-based social media talks topic classification (twitter case)
"Dr. Sri Suning Kusumawardani, S.T., M.T.",Software Engineering,Integrated Cloud Storage on Paperless Thesis Examination,"FNA Rahman, R Ferdiana, SS Kusumawardani",1,2018,Integrated Cloud Storage on Paperless Thesis Examination
"Dr. Sri Suning Kusumawardani, S.T., M.T.",Software Engineering,Pengaruh Knowledge Sharing dalam Mewujudkan Green IT di Pemerintah Kabupaten Semarang,"CN Raharjo, S Kusumawardani, LE Nugroho",1,2016,The Effect of Knowledge Sharing in Realizing Green IT in Semarang District Government
"Dr. Sri Suning Kusumawardani, S.T., M.T.",Software Engineering,Querying ontology through http protocol to bridge interoperability and platform difference,"SS Kusumawardani, RS Prakoso, PI Santosa",1,2015,Querying ontology through http protocol to bridge interoperability and platform difference
"Dr. Sri Suning Kusumawardani, S.T., M.T.",Software Engineering,Performance of Repeat-Accumulate Codes (RAC) for decode-and-forward wireless relay channel,"D Chandra, A Susanto, SS Kusumawardani",1,2014,Performance of Repeat-Accumulate Codes (RAC) for decode-and-forward wireless relay channel
"Dr. Sri Suning Kusumawardani, S.T., M.T.",Software Engineering,Implementasi Bayesian Belief Network Untuk Sistem Manajemen Keamanan Jaringan di Jurusan Teknik Elektro dan Teknologi Informasi FT UGM,A Kumalasari,1,2014,"Implementation of Bayesian Belief Network for Network Security Management Systems in the Department of Electrical Engineering and Information Technology, FT UGM"
"Dr. Sri Suning Kusumawardani, S.T., M.T.",Software Engineering,WLAN FINGERPRINT UNTUK PREDIKSI LOKASI OBJEK DALAM GEDUNG,"T Ginting, W Widyawan, SS Kusumawardani",1,2012,WLAN FINGERPRINT FOR PREDICTION OF OBJECT LOCATIONS IN BUILDINGS
"Dr. Sri Suning Kusumawardani, S.T., M.T.",Software Engineering,Unjuk Kerja Routing Protocol OLSR Pada Wireless Mesh Network Berbasis Standar IEEE 802.11 b/g,"A Primaned, SS Kusumawardani",1,2012,Performance of OLSR Routing Protocol on Wireless Mesh Networks Based on IEEE 802.11 b/g Standards
"Dr. Sri Suning Kusumawardani, S.T., M.T.",Software Engineering,Ontologi Sistem Penilaian E-Learning Berbasis Kompetensi,"D Windisari, SS Kusumawardani, PI Santosa",1,2011,Competency Based E-Learning Assessment System Ontology
"Dr. Sri Suning Kusumawardani, S.T., M.T.",Software Engineering,"Implementation of error trapping technique in (31, 16) cyclic codes for two-bit error correction in 16-bit sound data using Labview Software","UD Atmojo, SS Kusumawardani",1,2010,"Implementation of error trapping technique in (31, 16) cyclic codes for two-bit error correction in 16-bit sound data using Labview Software"
"Dr. Sri Suning Kusumawardani, S.T., M.T.",Software Engineering,Transformer Encoder Model for Sequential Prediction of Student Performance Based on Their Log Activities,"SS Kusumawardani, SAI Alfarozi",,2023,Transformer Encoder Model for Sequential Prediction of Student Performance Based on Their Log Activities
"Dr. Sri Suning Kusumawardani, S.T., M.T.",Software Engineering,Designing an Android-based Nursing Theory Reminder of Educational Game Application (GEMPITA),"Y Devita, Y Nita, S Hartini, SS Kusumawardani",,2023,Designing an Android-based Nursing Theory Reminder of Educational Game Application (GEMPITA)
"Dr. Sri Suning Kusumawardani, S.T., M.T.",Software Engineering,Measuring Google Classroom's Usability Level from an Expert Perspective,"E Iryanti, SS Kusumawardani, I Hidayah, RD Siahaan",,2022,Measuring Google Classroom's Usability Level from an Expert Perspective
"Dr. Sri Suning Kusumawardani, S.T., M.T.",Software Engineering,Improvement of GAN-LCS Performance with Synonym Recognition,"L Saskia, I Hidayah, SS Kusumawardani",,2022,Improvement of GAN-LCS Performance with Synonym Recognition
"Dr. Sri Suning Kusumawardani, S.T., M.T.",Software Engineering,Transformer Model Fine-Tuning for Indonesian Automated Essay Scoring with Semantic Textual Similarity,"AH Nugroho, I Hidayah, SS Kusumawardani",,2022,Transformer Model Fine-Tuning for Indonesian Automated Essay Scoring with Semantic Textual Similarity
"Dr. Sri Suning Kusumawardani, S.T., M.T.",Software Engineering,An Ontology Model for Formative Assessments,"NW Rahayu, A Arifin, R Ferdiana, SS Kusumawardani",,2022,An Ontology Model for Formative Assessments
"Dr. Sri Suning Kusumawardani, S.T., M.T.",Software Engineering,Automatic Item Generation with Reading Passages: A Systematic Literature Review,"H Setiawan, I Hidayah, SS Kusumawardani",,2022,Automatic Item Generation with Reading Passages: A Systematic Literature Review
"Dr. Sri Suning Kusumawardani, S.T., M.T.",Software Engineering,E-Learning Evaluation of Del Superior High School Based on Black Box Testing with Equivalence Partitioning and Graph-Based Testing,"RD Siahaan, SS Kusumawardani, I Hidayah",,2022,E-Learning Evaluation of Del Superior High School Based on Black Box Testing with Equivalence Partitioning and Graph-Based Testing
